Comment,Designator,Footprint,JLCPCB Part #
,"C1, C2, C3, C52",CAPP_0402_M,C126521
,"C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73",CAP_0805_M,C286511
https://jlcpcb.com/partdetail/171732-B2B_PH_SM4_TB_LF_SN/C160352,J1,SHDRV2W60P200_2X1_590X450H600,C160352
https://datasheet.lcsc.com/lcsc/2010160505_CJT-Changjiang-Connectors-A2541HWV-8P_C225505.pdf,J2,RHDRV2W80P254_2X1_558X250H875_AP1,C225499
,L1,IND_0805_M,C5137251
https://datasheet.lcsc.com/lcsc/1810171817_Alpha---Omega-Semicon-AO3401A_C15127.pdf,Q2,SOT23-3P95_240X115L40X40N,C15127
0,"R1, R2",RES_0402_M,C881335
1.65k,R3,RES_0402_M,"
C228384"
10k,"R4, R5, R6, R7",RES_0402_M,C144807
500,"R8, R9",RES_0402_M,C286559
31.25k,R10,RES_0805_M,C865399
10k,R11,RES_0805_M,C100047
31.25k,R12,RES_0805_M,C865399
,S1,C720477,C720477
,U1,SOT23-5P95_270X145L35X35N,C82941
,U2,C82891,C82891
file:///C:/Users/devin/Downloads/SK9822-EC20.pdf,"U3, U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U40, U41, U42, U43, U44, U45, U46, U47, U48, U49, U50, U51, U52, U53, U54, U55, U56, U57, U58, U59, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U70, U71, U72, U73, U74",PSON6P80_200X200X65L70X40N,C2909059
file:///C:/Users/devin/Downloads/RY8310.pdf,U75,SOT23-6P95_280X130L42X40N,C370876
file:///C:/Users/devin/Downloads/DRV5055A2QDBZR.pdf,U76,SOT23-3P95_237X112L40X40N,C266128
,U77,C261072,C261072
